"APR","Count"
"0","28972"
"3.006","1"
"3.007","0"
"3.008","0"
"3.009","0"
"3.01","0"
"3.011","0"
"3.012","2"
"3.013","0"
"3.014","0"
"3.015","2"
"3.016","3"
"3.017","0"
"3.018","1"
"3.019","1"
"3.02","0"
"3.021","0"
"3.022","0"
"3.023","1"
"3.024","0"
"3.025","1"
"3.026","1"
"3.027","0"
"3.028","0"
"3.029","0"
"3.03","2"
"3.031","0"
"3.032","0"
"3.033","0"
"3.034","1"
"3.035","1"
"3.036","1"
"3.037","1"
"3.038","0"
"3.039","0"
"3.04","1"
"3.041","1"
"3.042","1"
"3.043","0"
"3.044","0"
"3.045","1"
"3.046","0"
"3.047","0"
"3.048","0"
"3.049","0"
"3.05","2"
"3.051","1"
"3.052","0"
"3.053","1"
"3.054","0"
"3.055","0"
"3.056","0"
"3.057","0"
"3.058","0"
"3.059","0"
"3.06","0"
"3.061","0"
"3.062","0"
"3.063","0"
"3.064","2"
"3.065","0"
"3.066","0"
"3.067","0"
"3.068","0"
"3.069","1"
"3.07","0"
"3.071","1"
"3.072","3"
"3.073","0"
"3.074","0"
"3.075","0"
"3.076","0"
"3.077","0"
"3.078","0"
"3.079","0"
"3.08","0"
"3.081","0"
"3.082","0"
"3.083","0"
"3.084","0"
"3.085","0"
"3.086","1"
"3.087","1"
"3.088","0"
"3.089","0"
"3.09","0"
"3.091","1"
"3.092","0"
"3.093","1"
"3.094","0"
"3.095","0"
"3.096","0"
"3.097","0"
"3.098","0"
"3.099","1"
"3.1","0"
"3.101","2"
"3.102","0"
"3.103","0"
"3.104","0"
"3.105","0"
"3.106","0"
"3.107","0"
"3.108","0"
"3.109","0"
"3.11","0"
"3.111","4"
"3.112","0"
"3.113","0"
"3.114","2"
"3.115","1"
"3.116","0"
"3.117","0"
"3.118","0"
"3.119","0"
"3.12","0"
"3.121","0"
"3.122","0"
"3.123","0"
"3.124","2"
"3.125","4"
"3.126","3"
"3.127","1"
"3.128","0"
"3.129","1"
"3.13","1"
"3.131","1"
"3.132","1"
"3.133","0"
"3.134","0"
"3.135","2"
"3.136","2"
"3.137","0"
"3.138","2"
"3.139","3"
"3.14","4"
"3.141","1"
"3.142","5"
"3.143","2"
"3.144","1"
"3.145","3"
"3.146","2"
"3.147","1"
"3.148","9"
"3.149","4"
"3.15","2"
"3.151","3"
"3.152","4"
"3.153","4"
"3.154","0"
"3.155","1"
"3.156","1"
"3.157","1"
"3.158","1"
"3.159","7"
"3.16","5"
"3.161","2"
"3.162","2"
"3.163","5"
"3.164","2"
"3.165","1"
"3.166","1"
"3.167","2"
"3.168","4"
"3.169","0"
"3.17","4"
"3.171","3"
"3.172","3"
"3.173","0"
"3.174","1"
"3.175","1"
"3.176","0"
"3.177","1"
"3.178","3"
"3.179","2"
"3.18","1"
"3.181","4"
"3.182","5"
"3.183","0"
"3.184","0"
"3.185","0"
"3.186","2"
"3.187","1"
"3.188","4"
"3.189","0"
"3.19","1"
"3.191","1"
"3.192","1"
"3.193","0"
"3.194","0"
"3.195","1"
"3.196","4"
"3.197","1"
"3.198","1"
"3.199","3"
"3.2","9"
"3.201","1"
"3.202","3"
"3.203","0"
"3.204","3"
"3.205","2"
"3.206","1"
"3.207","2"
"3.208","1"
"3.209","4"
"3.21","4"
"3.211","4"
"3.212","4"
"3.213","1"
"3.214","4"
"3.215","3"
"3.216","5"
"3.217","4"
"3.218","3"
"3.219","3"
"3.22","5"
"3.221","2"
"3.222","3"
"3.223","4"
"3.224","5"
"3.225","4"
"3.226","1"
"3.227","1"
"3.228","6"
"3.229","5"
"3.23","1"
"3.231","3"
"3.232","2"
"3.233","3"
"3.234","19"
"3.235","5"
"3.236","5"
"3.237","3"
"3.238","5"
"3.239","1"
"3.24","2"
"3.241","2"
"3.242","6"
"3.243","2"
"3.244","2"
"3.245","8"
"3.246","3"
"3.247","4"
"3.248","4"
"3.249","4"
"3.25","101"
"3.251","2"
"3.252","11"
"3.253","4"
"3.254","1"
"3.255","4"
"3.256","5"
"3.257","4"
"3.258","5"
"3.259","2"
"3.26","6"
"3.261","8"
"3.262","5"
"3.263","4"
"3.264","9"
"3.265","3"
"3.266","4"
"3.267","5"
"3.268","1"
"3.269","3"
"3.27","5"
"3.271","1"
"3.272","1"
"3.273","2"
"3.274","2"
"3.275","3"
"3.276","4"
"3.277","6"
"3.278","2"
"3.279","1"
"3.28","3"
"3.281","5"
"3.282","6"
"3.283","2"
"3.284","12"
"3.285","8"
"3.286","1"
"3.287","5"
"3.288","5"
"3.289","2"
"3.29","6"
"3.291","0"
"3.292","17"
"3.293","9"
"3.294","6"
"3.295","8"
"3.296","6"
"3.297","9"
"3.298","9"
"3.299","7"
"3.3","3"
"3.301","0"
"3.302","5"
"3.303","8"
"3.304","7"
"3.305","8"
"3.306","10"
"3.307","7"
"3.308","4"
"3.309","9"
"3.31","3"
"3.311","6"
"3.312","8"
"3.313","9"
"3.314","12"
"3.315","6"
"3.316","6"
"3.317","15"
"3.318","5"
"3.319","12"
"3.32","4"
"3.321","9"
"3.322","3"
"3.323","3"
"3.324","7"
"3.325","17"
"3.326","8"
"3.327","5"
"3.328","4"
"3.329","7"
"3.33","9"
"3.331","12"
